StartDateTime;DefinitionNumber;Description_L1;Description_L1;PK_DinGroup
2016-10-21 04:44:13.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-21 14:45:23.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-21 20:16:46.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-22 10:45:41.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-22 19:26:32.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-23 02:03:11.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-23 09:01:40.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-23 19:46:24.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-10-24 04:16:09.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2016-12-20 14:40:29.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-01-14 21:21:47.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-01-15 00:35:53.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-01-16 03:04:24.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-02-09 03:07:08.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-03-21 02:24:02.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-03-21 11:42:54.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-03-21 12:02:32.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-03-21 12:03:34.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-03-30 14:14:50.007;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-03-30 14:18:43.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-03-30 14:33:56.007;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-03-30 14:34:21.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-04-03 08:58:29.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-05-15 18:29:54.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-05-22 13:21:34.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-05-22 13:31:21.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-05-22 18:09:01.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-05-24 10:31:24.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-05-30 07:49:42.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-05-30 07:55:04.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-06-12 14:16:13.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-06-12 15:32:16.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-06-13 07:45:42.003;21;Feueralarm Fahrmotor 1 & Getriebe 1;Alarme;42
2017-07-14 22:08:11.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;43
2017-08-07 15:23:53.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-08 08:10:12.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-08 08:34:46.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-08 08:38:37.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-08 08:38:40.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-08 08:38:42.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-08 20:05:17.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-08 23:02:30.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-09 03:31:32.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-09 22:35:48.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-10 02:42:08.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-10 21:14:27.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-11 09:47:22.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-14 21:25:51.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-15 02:35:14.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-15 14:02:44.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-15 22:07:47.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-16 02:44:39.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-16 15:07:02.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-16 16:26:45.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-16 20:26:43.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-19 20:33:34.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-20 00:59:26.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-20 20:37:43.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-20 22:43:03.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-21 02:44:54.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-21 11:44:58.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-21 19:08:28.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-22 20:58:08.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-23 01:00:54.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-23 20:56:59.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-23 23:09:59.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-24 18:15:08.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-24 23:30:41.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-25 03:30:41.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-25 14:23:54.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-28 20:34:26.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-29 01:37:57.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-08-29 01:49:55.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-01 10:06:47.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-01 14:13:32.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-01 20:43:32.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-02 01:09:57.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-02 22:03:35.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-03 03:06:31.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-03 19:57:18.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-03 23:59:18.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-09 21:03:21.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-10 01:40:54.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-11 09:47:06.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-11 13:58:10.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-12 07:17:07.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-12 09:37:29.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-12 11:20:21.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-12 11:21:28.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-12 11:21:57.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-13 07:13:17.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-13 08:39:00.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-13 08:39:07.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-13 08:43:19.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-13 08:43:32.007;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
2017-09-13 08:57:26.003;111;Störung Fahrmotor 1 (siehe Deutz Display);Warnungen;2042
